"","bike_model","bike_price"
"1","XTRA WATT EVO ALLROAD HERREN","469900 "
"2","XTRA WATT EVO ALLROAD DAMEN","469900 "
"3","XTRA WATT EVO ALLROAD UNISEX","469900 "
"4","XTRA WATT EVO HERREN","299900 "
"5","XTRA WATT EVO DAMEN","299900 "
"6","XTRA WATT EVO UNISEX","409900 "
